Ticker,Quantidade,Setor,Data de atualização,Valor Atual,PAYOUT,LPA,VPA,P/L,P/VP,P/SR,ROE,ROA,EBITDA,Margem bruta,Margem líquida,Margem EBITDA,Margem operacional,P/CF,Liquidez corrente,Liquidez imediata,Liquidez seca,Giro do ativo,Endividamento geral,Ativo por ação,Dívida bruta,Dívida líquida,Capital de giro,Receita líquida por ação,EBIT por ação,Margem EBIT
NEOE3,,,2025-04-25 23:19:37,22.1299991607666,22.54%,2.99,26.89,7.36,0.82,,11.24,0.03,12.573,26.73,7.52,25.66,9.61,,1.22,0.38,1.22,0.45,234.51,90.25,52.6,44.774,4.425,40.36,7.99,19.8
BBAS3,,,2025-04-25 23:19:50,28.010000228881836,46.09%,6.15,31.56,4.5,0.88,,19.49,0.01,,20.21,12.67,,13.63,,,,,0.12,,417.99,,,,48.57,,
