Ticker,Quantidade,Setor,Data de atualização,valor_atual,PAYOUT,LPA,VPA,P/L,P/VP,P/SR,ROE,ROA,EBITDA,Margem bruta,Margem líquida,Margem EBITDA,Margem operacional,P/CF,Liquidez corrente,Liquidez imediata,Liquidez seca,Giro do ativo,Endividamento geral,Ativo por ação,Dívida bruta,Dívida líquida,Capital de giro,Receita líquida por ação,EBIT por ação,Margem EBIT
VAMO3,100,,2024-04-07 22:08:18,8.0,"60,57%",0.53,4.29,15.05,1.87,1.45,12.4,0.03,2.668,45.3,9.65,43.84,8.37,3.29,1.75,0.03,1.26,0.29,339.44,18.84,11.717,9.422,2.545,5.51,1.89,34.24
MELI34,100,,2024-04-07 22:08:38,63.529998779296875,"0,00%",,,,,,,,,,,,,,,,,,,,,,,,,
MOAR3,100,,2024-04-07 22:08:43,396.0,"22,05%",71.75,123.67,5.52,3.2,,58.01,0.3,1.135,,,,,235.82,4.86,1.56,4.86,0.0,92.99,238.68,667.0,612.0,1.069,0.0,92.67,
RBVA11,100,,2024-04-07 22:08:48,112.2300033569336,"65,03%",,,,,,,,,,,,,,,,,,,,,,,,,
MRSA3B,100,,2024-04-07 22:08:53,28.0,"17,25%",3.55,18.89,7.84,1.47,1.46,18.79,0.07,3.429,46.4,18.61,53.17,27.56,2.6,1.38,1.01,1.3,0.36,182.89,53.45,6.875,3.487,1.284,19.08,7.45,39.04
VTLT11,100,,2024-04-07 22:08:58,97.33999633789062,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
GTWR11,100,,2024-04-07 22:09:02,84.0199966430664,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
DMAC11,100,,2024-04-07 22:09:26,13.0,"0,00%",,,,,,,,,,,,,,,,,,,,,,,,,
TFOF11,100,,2024-04-07 22:09:30,138.0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
HCTR11,100,,2024-04-07 22:09:35,34.779998779296875,"89,89%",,,,,,,,,,,,,,,,,,,,,,,,,
HSML11,100,,2024-04-07 22:09:46,98.05000305175781,"181,94%",,,,,,,,,,,,,,,,,,,,,,,,,
XPHT11,100,,2024-04-07 22:09:51,123.0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
HABT11,100,,2024-04-07 22:10:03,92.29000091552734,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
RECT11,100,,2024-04-07 22:10:08,42.33000183105469,"9,70%",,,,,,,,,,,,,,,,,,,,,,,,,
AQLL11,100,,2024-04-07 22:10:13,385.0299987792969,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
ARFI11B,100,,2024-04-07 22:10:17,1109.0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
BARI11,100,,2024-04-07 22:10:29,83.83000183105469,"156,12%",,,,,,,,,,,,,,,,,,,,,,,,,
BPRP11,100,,2024-04-07 22:10:44,107.48999786376953,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
BVAR11,100,,2024-04-07 22:10:56,1552.72998046875,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
DAMT11B,100,,2024-04-07 22:11:01,11.0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
ERPA11,100,,2024-04-07 22:11:20,133.85000610351562,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
FISC11,100,,2024-04-07 22:11:31,74.98999786376953,"75,69%",,,,,,,,,,,,,,,,,,,,,,,,,
FPNG11,100,,2024-04-07 22:11:39,85.06999969482422,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
FTCE11B,100,,2024-04-07 22:11:44,2893.39794921875,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
HGFF11,100,,2024-04-07 22:12:02,88.9000015258789,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
HUSC11,100,,2024-04-07 22:12:07,112.38999938964844,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
JPPC11,100,,2024-04-07 22:12:12,175.0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
KINP11,100,,2024-04-07 22:12:16,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
LATR11B,100,,2024-04-07 22:12:21,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
NCHB11,100,,2024-04-07 22:12:26,9.600000381469727,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
NPAR11,100,,2024-04-07 22:12:31,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
NVHO11,100,,2024-04-07 22:12:36,11.260000228881836,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
ORPD11,100,,2024-04-07 22:12:47,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
OULG11B,100,,2024-04-07 22:12:52,28.579999923706055,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
PRSN11B,100,,2024-04-07 22:13:03,1.4800000190734863,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
RBCO11,100,,2024-04-07 22:13:14,44.0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
RBFF11,100,,2024-04-07 22:13:19,62.38999938964844,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
RBRP11,100,,2024-04-07 22:13:24,60.06999969482422,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
RBRY11,100,,2024-04-07 22:13:28,99.97000122070312,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
RCFA11,100,,2024-04-07 22:13:33,1.3200000524520874,"0,00%",,,,,,,,,,,,,,,,,,,,,,,,,
RCRI11B,100,,2024-04-07 22:13:37,1200.0,"0,00%",,,,,,,,,,,,,,,,,,,,,,,,,
REIT11,100,,2024-04-07 22:13:51,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
SADI11,100,,2024-04-07 22:13:56,89.55000305175781,"100,49%",,,,,,,,,,,,,,,,,,,,,,,,,
SAIC11B,100,,2024-04-07 22:14:00,34.0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
SHDP11B,100,,2024-04-07 22:14:11,1210.050048828125,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
SHOP11,100,,2024-04-07 22:14:15,59.290000915527344,"0,00%",,,,,,,,,,,,,,,,,,,,,,,,,
STRX11,100,,2024-04-07 22:14:26,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
TORM13,100,,2024-04-07 22:14:37,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
TOUR11,100,,2024-04-07 22:14:42,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
TSNC11,100,,2024-04-07 22:14:46,0.009999999776482582,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
VERE11,100,,2024-04-07 22:14:50,257.0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
WTSP11B,100,,2024-04-07 22:15:08,36.0,"10,37%",,,,,,,,,,,,,,,,,,,,,,,,,
YCHY11,100,,2024-04-07 22:15:12,1000.0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
VIVA3,100,,2024-04-07 22:15:18,24.520000457763672,"23,22%",1.56,8.19,15.68,3.0,2.65,19.09,0.11,584.0,69.32,16.88,26.74,18.33,28.75,2.96,0.32,1.83,0.67,67.63,13.72,271.0,34.0,1.36,9.26,1.91,20.61
CEAB3,100,,2024-04-07 22:15:23,12.069999694824219,"0,00%",0.01,9.77,,1.23,0.55,0.08,0.0,1.135,52.42,0.03,16.9,0.51,3.87,1.39,0.36,1.11,0.71,212.6,30.55,1.687,340.0,1.241,21.8,1.28,5.87
BMGB4,100,,2024-04-07 22:15:36,3.430000066757202,"174,20%",0.35,6.73,9.77,0.51,0.27,5.21,0.0,,19.99,2.8,,1.74,10.48,0.72,,,0.16,,80.01,,,6.903,12.53,,
RBCO11,100,,2024-04-07 22:15:47,44.0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
IBFF11,100,,2024-04-07 22:15:52,66.4000015258789,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
CVBI11,100,,2024-04-07 22:15:57,96.44999694824219,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
HRDF11,100,,2024-04-07 22:16:01,3.819999933242798,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
RSPD11,100,,2024-04-07 22:16:06,1022.5,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
